epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,589.599,0.8065,0.46395,1.42185,0.99743,0.97381,0.98874,0.80691,0.79462,0.39388,1.48615,0.0013202,0.0013202,0.0013202
105,594.776,0.7456,0.43315,1.25884,0.99512,0.97121,0.98918,0.81322,0.78404,0.38353,1.46943,0.0013136,0.0013136,0.0013136
106,600.196,0.73274,0.43093,1.24187,1,0.97541,0.99472,0.81623,0.78979,0.37743,1.47376,0.001307,0.001307,0.001307
107,605.979,0.74015,0.42914,1.24719,0.99759,0.9854,0.9945,0.81659,0.78802,0.37885,1.46804,0.0013004,0.0013004,0.0013004
108,611.077,0.73655,0.42263,1.21087,0.99932,0.98333,0.99467,0.81128,0.79463,0.39316,1.50443,0.0012938,0.0012938,0.0012938
109,618.06,0.727,0.42861,1.24324,1,0.97819,0.9922,0.82073,0.77642,0.37716,1.45388,0.0012872,0.0012872,0.0012872
110,623.393,0.71205,0.42173,1.22566,0.99757,0.97566,0.99122,0.8155,0.77665,0.37445,1.45654,0.0012806,0.0012806,0.0012806
111,629.552,0.74175,0.4286,1.2721,0.99741,0.97381,0.98808,0.81869,0.7692,0.36579,1.46847,0.001274,0.001274,0.001274
112,634.716,0.72323,0.41549,1.23066,0.99485,0.98095,0.99413,0.81828,0.77327,0.3771,1.4793,0.0012674,0.0012674,0.0012674
113,640.582,0.7378,0.44869,1.26178,1,0.98088,0.994,0.81437,0.77242,0.37451,1.46791,0.0012608,0.0012608,0.0012608
114,645.955,0.72481,0.42568,1.21731,0.99696,0.97857,0.99125,0.81915,0.76996,0.37861,1.48727,0.0012542,0.0012542,0.0012542
115,651.167,0.73159,0.41788,1.25331,1,0.97359,0.9899,0.81572,0.77886,0.37667,1.44867,0.0012476,0.0012476,0.0012476
116,657.376,0.71497,0.4229,1.21824,0.9927,0.97619,0.98842,0.81613,0.77989,0.37267,1.51501,0.001241,0.001241,0.001241
117,662.483,0.72832,0.42363,1.23868,0.99036,0.97838,0.99033,0.81939,0.77227,0.36841,1.51473,0.0012344,0.0012344,0.0012344
118,668.751,0.70688,0.41447,1.20632,0.99757,0.97619,0.99153,0.81284,0.7932,0.37825,1.51079,0.0012278,0.0012278,0.0012278
119,673.862,0.72126,0.41771,1.22617,0.99517,0.98132,0.99171,0.82391,0.77567,0.37407,1.46487,0.0012212,0.0012212,0.0012212
120,680.169,0.71409,0.41506,1.20347,0.9944,0.97857,0.9902,0.8254,0.76391,0.37373,1.47823,0.0012146,0.0012146,0.0012146
